task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
B09_cnmf_gene_programs,B,hard,deepseek_omicverse_fewshot,deepseek-v4-flash,0,True,1.0,none,"{""cnmf_obsm"": true, ""cnmf_programs_uns"": true, ""dominant_program"": true, ""n_programs"": true, ""cnmf_real_call"": true}","cnmf_obsm: 'X_cnmf|cnmf_usages|gep_usages'→X_cnmf | cnmf_programs_uns: 'cnmf.*program|cnmf.*spectra|cnmf.*gene_loading|gep_program'→cnmf_gene_loadings | cnmf_real_call: real cNMF library invocation: matched [""'\\\\bcombine_nmf\\\\b'→'combine_nmf'""]",19,2807.1245427131653,,2026-07-27T07:46:52.167183Z,trajectories/fewshot_p0/B09_cnmf_gene_programs__deepseek_omicverse_fewshot__deepseek_v4_flash__seed0.json
E03_bulk_de_multi_method,E,hard,deepseek_omicverse_fewshot,deepseek-v4-flash,0,False,0.6666666666666666,wrong_tool_choice,"{""rank_present"": true, ""rank_substructure"": true, ""multi_method_de_consistency"": false}",multi_method_de_consistency: mean top-30 Jaccard across methods = 0.100 < 0.15,15,109.06887531280518,,2026-07-27T07:48:41.246544Z,trajectories/fewshot_p0/E03_bulk_de_multi_method__deepseek_omicverse_fewshot__deepseek_v4_flash__seed0.json
F04_multi_backend_pseudotime,F,hard,deepseek_omicverse_fewshot,deepseek-v4-flash,0,True,1.0,none,"{""clusters_obs"": true, ""two_pseudotime_obs"": true, ""pseudotime_anchored_at_root"": true, ""pseudotime_methods_agree"": true}","two_pseudotime_obs: 2 matching: ['slingshot_pseudotime', 'dpt_pseudotime'] | pseudotime_anchored_at_root: slingshot_pseudotime: root cluster 'Ductal' has the lowest median pseudotime (0.591) | pseudotime_methods_agree: 2 methods, min pairwise Spearman = 0.922 (slingshot_pseudotime↔dpt_pseudotime)",10,113.60427284240723,,2026-07-27T07:50:35.195504Z,trajectories/fewshot_p0/F04_multi_backend_pseudotime__deepseek_omicverse_fewshot__deepseek_v4_flash__seed0.json
L03_foundation_model_zero_shot_inference,L,hard,deepseek_omicverse_fewshot,deepseek-v4-flash,0,False,0.3333333333333333,exceeded_turns,"{""fm_inference_artifact"": false, ""fm_inference_summary"": false, ""fm_real_call"": true}","fm_inference_artifact: no key matches /['(scgpt|geneformer|scfoundation|uce|cellplm|tabula|fm|foundation).*(imputed|denoised|corrected|inferred|reconstructed)']/ in any of ['layers', 'obsm'] | fm_inference_summary: uns missing: [""regex:'(scgpt|geneformer|scfoundation|uce|cellplm|tabula|fm|foundation).*(inference|metrics|summary)|^(scgpt|geneformer|scfoundation|uce|cellplm|tabula|fm|foundation)$'""] | fm_real_call: real foundation-model invocation: matched [""'from\\\\s+geneformer\\\\s+import'→'from geneformer import'"", ""'\\\\.get_embeddings\\\\('→'.get_embeddings('""]",50,1209.4671423435211,,2026-07-27T08:10:44.922326Z,trajectories/fewshot_p0/L03_foundation_model_zero_shot_inference__deepseek_omicverse_fewshot__deepseek_v4_flash__seed0.json
