task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
C05_spatial_celltype_deconvolution,C,hard,deepseek_omicverse_fewshot,deepseek-v4-flash,0,True,1.0,none,"{""spatial_obsm"": true, ""fractions_present"": true, ""deconv_real_call"": true}","fractions_present: 34 fraction cols, sums≈1, median 10.0 non-zero per sample | deconv_real_call: real spatial-deconvolution library invocation: matched [""'\\\\bov\\\\.space\\\\.Deconvolution\\\\b'→'ov.space.Deconvolution'"", ""'\\\\bov\\\\.space\\\\.Deconvolution\\\\b'→'ov.space.Deconvolution'""]",19,1962.8388602733612,,2026-07-27T07:32:50.036676Z,trajectories/fewshot_p6/C05_spatial_celltype_deconvolution__deepseek_omicverse_fewshot__deepseek_v4_flash__seed0.json
F02_multi_method_trajectory,F,hard,deepseek_omicverse_fewshot,deepseek-v4-flash,0,True,1.0,none,"{""two_pseudotime_obs"": true, ""pseudotime_anchored_at_root"": true, ""branch_detection"": true, ""pseudotime_methods_agree"": true}","two_pseudotime_obs: distinct pseudotime cols: ['slingshot_pseudotime', 'velocity_pseudotime', 'dpt_pseudotime'] | pseudotime_anchored_at_root: all 3 pseudotime cols anchor at 'Ductal' | branch_detection: 4 terminal/branch states detected | pseudotime_methods_agree: 3 methods, min pairwise Spearman = 0.917 (slingshot_pseudotime↔dpt_pseudotime)",25,325.1680734157562,,2026-07-27T07:38:16.450830Z,trajectories/fewshot_p6/F02_multi_method_trajectory__deepseek_omicverse_fewshot__deepseek_v4_flash__seed0.json
L01_foundation_model_cell_embedding,L,hard,deepseek_omicverse_fewshot,deepseek-v4-flash,0,True,1.0,none,"{""fm_embedding_obsm"": true, ""embedding_dim_at_least"": true, ""neighbors_on_fm"": true, ""celltype_silhouette_fm"": true, ""fm_real_call"": true}","fm_embedding_obsm: '^X_(scgpt|geneformer|scfoundation|uce|cellplm|tabula|scbert|scmulan|tgpt|cellfm|sccello|scprint|aidocell|pulsar|nicheformer|fm)$|^X_.*foundation|^X_fm'→X_scfoundation | embedding_dim_at_least: obsm['X_scfoundation'] has 3072 dims | celltype_silhouette_fm: silhouette(X_scfoundation | cell_type) = 0.321 | fm_real_call: real foundation-model invocation: matched [""'ov\\\\.llm\\\\.SCLLMManager\\\\b'→'ov.llm.SCLLMManager'"", ""'\\\\[(Embedding|Predicting|Loaded)\\\\]\\\\s+.*(scGPT|Geneformer|scFoundation|UCE|CellPLM)'→'[Loaded] Geneformer'""]",37,2055.812201023102,,2026-07-27T08:12:32.560396Z,trajectories/fewshot_p6/L01_foundation_model_cell_embedding__deepseek_omicverse_fewshot__deepseek_v4_flash__seed0.json
