task_id,layer,difficulty,system,model_id,seed,passed,score,failure_mode,rubric_json,notes,n_turns,wallclock_s,adapter_error,started_at,trajectory
C04_spatial_trajectory_stt,C,hard,deepseek_omicverse_fewshot,deepseek-v4-flash,0,True,1.0,none,"{""spatial_obsm"": true, ""pseudotime_obs"": true, ""spatial_domain_obs"": true, ""domain_unique_count"": true, ""transition_uns"": true, ""stt_real_call"": true}","transition_uns: 'transition|tensor|stt|trajectory'→spatial_trajectory | stt_real_call: real STT (spatial-transition-tensor) invocation: matched [""'\\\\bov\\\\.space\\\\.STT\\\\b'→'ov.space.STT'"", ""'\\\\bov\\\\.space\\\\.STT\\\\b'→'ov.space.STT'""]",29,370.2313508987427,,2026-07-27T07:06:15.808171Z,trajectories/fewshot_p5/C04_spatial_trajectory_stt__deepseek_omicverse_fewshot__deepseek_v4_flash__seed0.json
F01_multi_mode_velocity,F,hard,deepseek_omicverse_fewshot,deepseek-v4-flash,0,True,1.0,none,"{""velocity_layer"": true, ""velocity_umap_obsm"": true, ""modes_directionally_agree"": true, ""velocity_flows_from_root"": true}","velocity_layer: '^(velocity|velo)(_[A-Za-z0-9]+)?$'→velocity | velocity_umap_obsm: '^(velocity|velo)(_[A-Za-z0-9]+)?_umap$'→velocity_umap | modes_directionally_agree: mean cosine=0.926 between ['velocity', 'velocity_S'] | velocity_flows_from_root: outward cosine=0.210 (velocity flows from 'Ductal')",8,109.89128422737122,,2026-07-27T07:08:06.121806Z,trajectories/fewshot_p5/F01_multi_mode_velocity__deepseek_omicverse_fewshot__deepseek_v4_flash__seed0.json
G05_phylogenetic_diversity,G,hard,deepseek_omicverse_fewshot,deepseek-v4-flash,0,False,0.75,wrong_tool_choice,"{""tree_newick"": true, ""faith_pd_obs"": true, ""unifrac_distance"": false, ""unifrac_test"": true}","tree_newick: 'tree|phylogen|newick'→phylogeny_newick | unifrac_distance: no beta diversity matrix at any of ['unifrac', 'weighted_unifrac', 'unweighted_unifrac'] | unifrac_test: '(unifrac|tree).*(permanova|anosim|test)|(permanova|anosim).*(unifrac|tree)'→unifrac_permanova",23,398.25224924087524,,2026-07-27T07:14:44.399364Z,trajectories/fewshot_p5/G05_phylogenetic_diversity__deepseek_omicverse_fewshot__deepseek_v4_flash__seed0.json
